name;symbolnasdaq;currency;isin;symbol;sector;sector_code;
North Media;NORTHM;DKK;DK0010270347;NORTHM.CO;Consumer Services;4030;
Norva24 Group;NORVA;SEK;SE0017084759;NORVA.ST;Industrials;5020;
NOTE;NOTE;SEK;SE0001161654;NOTE.ST;Industrials;5020;
Nordic Paper Holding;NPAPER;SEK;SE0014808838;NPAPER.ST;Basic Materials;5510;
Nordic Waterproofing Holding;NWG;SEK;SE0014731089;NWG.ST;Industrials;5010;
OEM International B;OEM B;SEK;SE0017766843;OEM-B.ST;Industrials;5020;
Oriola Oyj A;OKDAV;EUR;FI0009014344;OKDAV.HE;Health Care;2010;
Oriola Oyj B;OKDBV;EUR;FI0009014351;OKDBV.HE;Health Care;2010;
Ölgerðin Egill Skallagrímsson;OLGERD;ISK;IS0000028678;OLGERD.IC;Consumer Services;4020;
Olvi Oyj A;OLVAS;EUR;FI0009900401;OLVAS.HE;Consumer Goods;4510;
Oma Säästöpankki Oyj;OMASP;EUR;FI4000306733;OMASP.HE;Financials;3010;
Oncopeptides;ONCO;SEK;SE0009414576;ONCO.ST;Health Care;2010;
Öresund;ORES;SEK;SE0008321608;ORES.ST;Financials;3020;
Orphazyme;ORPHA;DKK;DK0060910917;ORPHA.CO;Health Care;2010;
Orexo;ORX;SEK;SE0000736415;ORX.ST;Health Care;2010;
Ovzon;OVZON;SEK;SE0010948711;OVZON.ST;Telecommunications;1510;
Per Aarsleff Holding B;PAAL B;DKK;DK0060700516;PAAL-B.CO;Industrials;5010;
Proact IT Group;PACT;SEK;SE0015961222;PACT.ST;Technology;1010;
Pierce Group;PIERCE;SEK;SE0015658364;PIERCE.ST;Consumer Services;4040;
Pihlajalinna Oyj;PIHLIS;EUR;FI4000092556;PIHLIS.HE;Health Care;2010;
Ponsse Oyj 1;PON1V;EUR;FI0009005078;PON1V.HE;Industrials;5020;
Profoto Holding;PRFO;SEK;SE0015962147;PRFO.ST;Industrials;5020;
Pricer B;PRIC B;SEK;SE0000233934;PRIC-B.ST;Technology;1010;
Probi;PROB;SEK;SE0001280355;PROB.ST;Health Care;2010;
Purmo Group Oyj C;PURMO;EUR;FI4000507488;PURMO.HE;Industrials;5010;
Puuilo Oyj;PUUILO;EUR;FI4000507124;PUUILO.HE;Consumer Services;4040;
Q-Linea;QLINEA;SEK;SE0011527845;QLINEA.ST;Health Care;2010;
Raisio Oyj Vaihto-osake;RAIVV;EUR;FI0009002943;RAIVV.HE;Consumer Goods;4510;
Rapala VMC Oyj;RAP1V;EUR;FI0009007355;RAP1V.HE;Consumer Services;4020;
RaySearch Laboratories B;RAY B;SEK;SE0000135485;RAY-B.ST;Health Care;2010;
Readly International;READ;SEK;SE0014855292;READ.ST;Technology;1010;
Reginn;REGINN;ISK;IS0000021301;REGINN.IC;Real Estate;3510;
Reitir fasteignafélag;REITIR;ISK;IS0000020352;REITIR.IC;Real Estate;3510;
Rejlers B;REJL B;SEK;SE0000123671;REJL-B.ST;Industrials;5020;
Relais Group Oyj;RELAIS;EUR;FI4000391487;RELAIS.HE;Consumer Services;4010;
Remedy Entertainment Oyj;REMEDY;EUR;FI4000251897;REMEDY.HE;Consumer Services;4020;
Resurs Holding;RESURS;SEK;SE0007665823;RESURS.ST;Financials;3020;
Rovio Entertainment Oyj;ROVIO;EUR;FI4000266804;ROVIO.HE;Consumer Services;4020;
Rottneros;RROS;SEK;SE0000112252;RROS.ST;Basic Materials;5510;
RTX;RTX;DKK;DK0010267129;RTX.CO;Telecommunications;1510;
RVRC Holding;RVRC;SEK;SE0015962485;RVRC.ST;Consumer Services;4040;
Scanfil Oyj;SCANFL;EUR;FI4000029905;SCANFL.HE;Industrials;5020;
Scandi Standard;SCST;SEK;SE0005999760;SCST.ST;Consumer Goods;4510;
Scandic Hotels Group;SHOT;SEK;SE0007640156;SHOT.ST;Consumer Services;4050;
Síminn;SIMINN;ISK;IS0000026193;SIMINN.IC;Telecommunications;1510;
Sitowise Group Oyj;SITOWS;EUR;FI4000480215;SITOWS.HE;Industrials;5010;
Sivers Semiconductors;SIVE;SEK;SE0003917798;SIVE.ST;Technology;1010;
Sjóvá-Almennar tryggingar;SJOVA;ISK;IS0000024602;SJOVA.IC;Financials;3030;
SkiStar B;SKIS B;SEK;SE0012141687;SKIS-B.ST;Consumer Services;4050;
Swedish Logistic Property B;SLP B;SEK;SE0017565476;SLP-B.ST;Real Estate;3510;
Solar B;SOLAR B;DKK;DK0010274844;SOLAR-B.CO;Industrials;5020;
SP Group;SPG;DKK;DK0061027356;SPG.CO;Industrials;5020;
Sparekassen Sjælland-Fyn;SPKSJF;DKK;DK0060670776;SPKSJF.CO;Financials;3010;
Stendörren Fastigheter B;STEF B;SEK;SE0006543344;STEF-B.ST;Real Estate;3510;
Stockmann Oyj Abp;STOCKA;EUR;FI0009000251;STOCKA.HE;Consumer Services;4040;
Suominen Oyj;SUY1V;EUR;FI0009010862;SUY1V.HE;Consumer Goods;4520;
Síldarvinnslan;SVN;ISK;IS0000000479;SVN.IC;Consumer Goods;4510;
Svolder A;SVOL A;SEK;SE0017161441;SVOL-A.ST;Financials;3020;
Svolder B;SVOL B;SEK;SE0017161458;SKD.F;Financials;3020;
SynAct Pharma;SYNACT;SEK;SE0008241491;SYNACT.ST;Health Care;2010;
Synsam;SYNSAM;SEK;SE0016829709;SYNSAM.ST;Consumer Services;4020;
Taaleri Oyj;TAALA;EUR;FI4000062195;TAALA.HE;Financials;3010;
AS Tallink Grupp FDR;TALLINK;EUR;FI4000349378;TALLINK.HE;Consumer Services;4050;
TCM Group;TCM;DKK;DK0060915478;TCM.CO;Consumer Services;4020;
Tobii Dynavox;TDVOX;SEK;SE0017105620;TDVOX.ST;Technology;1010;
Tecnotree Oyj;TEM1V;EUR;FI0009010227;TEM1V.HE;Technology;1010;
Tethys Oil;TETY;SEK;SE0017859259;TETY.ST;Energy;6010;
TF Bank;TFBANK;SEK;SE0007331608;TFBANK.ST;Financials;3010;
Tivoli A/S;TIV;DKK;DK0060726743;TIV.CO;Consumer Services;4050;
Talenom Oyj;TNOM;EUR;FI4000153580;TNOM.HE;Industrials;5020;
Tobii;TOBII;SEK;SE0002591420;TOBII.ST;Technology;1010;
Tokmanni Group Oyj;TOKMAN;EUR;FI4000197934;TOKMAN.HE;Consumer Services;4040;
Traction  B;TRAC B;SEK;SE0000391716;TRAC-B.ST;Financials;3020;
Trianon B;TRIAN B;SEK;SE0018013658;TRIAN-B.ST;Real Estate;3510;
Trifork Holding;TRIFOR;DKK;CH1111227810;TRIFOR.CO;Technology;1010;
TORM A;TRMD A;DKK;GB00BZ3CNK81;TRMD-A.CO;Industrials;5020;
UIE Plc;UIE;DKK;MT0002400118;UIE.CO;Consumer Goods;4510;
VBG GROUP B;VBG B;SEK;SE0000115107;VBG-B.ST;Consumer Services;4010;
VEF;VEFAB;SEK;SE0016128151;VEFAB.ST;Financials;3020;
Verkkokauppa.com Oyj;VERK;EUR;FI4000049812;VERK.HE;Consumer Services;4040;
Viking Line Abp;VIK1V;EUR;FI0009005250;VIK1V.HE;Consumer Services;4050;
Vátryggingafélag Íslands;VIS;ISK;IS0000007078;VIS.IC;Financials;3030;
Vivesto;VIVE;SEK;SE0000722365;VIVE.ST;Health Care;2010;
Vestjysk Bank;VJBA;DKK;DK0010304500;VJBA.CO;Financials;3010;
VNV Global;VNV;SEK;SE0014428835;VNV.ST;Financials;3020;
Wästbygg Gruppen B;WBGR B;SEK;SE0014453874;WBGR-B.ST;Industrials;5010;
WithSecure Oyj;WITH;EUR;FI4000519228;WITH.HE;Technology;1010;
XANO Industri B;XANO B;SEK;SE0018014151;XANO-B.ST;Industrials;5020;
Xbrane Biopharma;XBRANE;SEK;SE0007789409;XBRANE.ST;Health Care;2010;
Xspray Pharma;XSPRAY;SEK;SE0009973563;XSPRAY.ST;Health Care;2010;
Xvivo Perfusion;XVIVO;SEK;SE0004840718;XVIVO.ST;Health Care;2010;
