index;Revenue;"Revenue Growth";"Gross Profit";"Gross Margin ";"Operating Profit";"Operating Margin ";"Earnings Per Share";"EPS Growth";"Dividends Per Share";"Dividend Growth";"Return on Assets";"Return on Equity";"Return on Invested Capital";ISIN;ticker
2015;12566;6.6;1946;15.5;827;6.6;27.38;51.9;DKK8.00;33.3;6.4;10.2;8.7;DK0010253921;SCHO:DK
2016;14369;14.4;2417;16.8;1038;7.2;56.41;106.0;DKK10.00;25.0;11.8;18.5;16.5;DK0010253921;SCHO:DK
2017;17032;18.5;2840;16.7;1093;6.4;36.63;-35.1;DKK12.00;20.0;6.6;10.9;9.4;DK0010253921;SCHO:DK
2018;18253;7.2;2975;16.3;1046;5.7;33.35;-9.0;DKK13.00;8.3;5.1;9.4;7.3;DK0010253921;SCHO:DK
2019;20947;14.8;3370;16.1;1143;5.5;38.27;14.8;DKK13.00;-;5.1;10.0;7.3;DK0010253921;SCHO:DK
2020;21274;1.6;6435;30.2;1376;6.5;38.00;-0.7;DKK14.00;7.7;5.0;9.5;7.2;DK0010253921;SCHO:DK
2021;24219;13.8;7042;29.1;1331;5.5;43.12;13.5;-;-100.0;5.3;10.2;8.0;DK0010253921;SCHO:DK
2012;1561;7.7;990;63.4;350;22.4;5.90;4.3;DKK3.01;0.6;27.5;40.2;39.9;DK0060495240;SIM:DK
2013;1678;7.5;1075;64.1;404;24.1;6.86;16.3;DKK3.50;16.3;32.3;49.9;49.5;DK0060495240;SIM:DK
2014;1794;6.9;1129;62.9;426;23.8;7.44;8.5;DKK3.99;13.9;33.9;57.3;56.5;DK0060495240;SIM:DK
2015;2075;15.7;1328;64.0;530;25.6;9.63;29.4;DKK4.50;12.8;38.0;64.5;63.1;DK0060495240;SIM:DK
2016;2201;6.1;1370;62.2;508;23.1;9.37;-2.7;DKK5.24;16.5;34.3;62.7;60.7;DK0060495240;SIM:DK
2017;2556;16.1;1569;61.4;662;25.9;12.43;32.6;DKK6.25;19.3;35.2;70.3;59.9;DK0060495240;SIM:DK
2018;2855;11.7;1745;61.1;771;27.0;14.40;15.9;DKK6.50;4.0;30.8;53.9;48.8;DK0060495240;SIM:DK
2019;3395;18.9;2147;63.2;955;28.1;18.08;25.5;DKK6.70;3.0;27.4;48.6;42.1;DK0060495240;SIM:DK
2020;3392;-0.1;2147;63.3;925;27.3;16.37;-9.5;DKK7.47;11.6;19.4;34.7;29.1;DK0060495240;SIM:DK
2021;3690;8.8;2226;60.3;985;26.7;20.38;24.5;-;-100.0;22.1;36.6;32.9;DK0060495240;SIM:DK
2012;5978;-;2992;50.0;931;15.6;12.40;-;-;-;-;-;-;DK0060696300;STG:DK
2013;5925;-0.9;2915;49.2;774;13.1;11.40;-8.1;-;-;4.3;6.8;5.0;DK0060696300;STG:DK
2014;6126;3.4;2947;48.1;879;14.3;12.80;12.3;-;-;4.7;7.3;5.5;DK0060696300;STG:DK
2015;6732;9.9;3239;48.1;955;14.2;13.40;4.7;-;-;4.7;7.4;5.5;DK0060696300;STG:DK
2016;6746;0.2;3225;47.8;993;14.7;13.60;1.5;DKK5.00;-;4.7;7.5;5.6;DK0060696300;STG:DK
2017;6464;-4.2;3095;47.9;922;14.3;14.20;4.4;DKK5.50;10.0;5.2;8.0;6.2;DK0060696300;STG:DK
2018;6718;3.9;3219;47.9;1004;14.9;13.40;-5.6;DKK5.75;4.5;5.0;7.7;5.9;DK0060696300;STG:DK
2019;6719;0.0;3143;46.8;1105;16.4;15.00;11.9;DKK6.00;4.3;5.5;8.3;6.4;DK0060696300;STG:DK
2020;8006;19.2;3712;46.4;1421;17.7;6.80;-54.7;DKK6.10;1.7;4.9;7.8;5.8;DK0060696300;STG:DK
2021;8233;2.8;4113;50.0;1838;22.3;14.50;113.2;DKK6.50;6.6;9.7;16.0;11.9;DK0060696300;STG:DK
2012;53849;24.1;5940;11.0;-1015;-1.9;-7.10;-482.3;-;-;-13.2;-46.0;-28.1;DK0061539921;VWS:DK
2013;45353;-15.8;6679;14.7;1349;3.0;-0.61;91.4;-;-;-1.3;-5.2;-3.0;DK0061539921;VWS:DK
2014;51421;13.4;8766;17.0;4130;8.0;0.53;186.3;-;-;6.2;20.1;15.3;DK0061539921;VWS:DK
2015;62879;22.3;11235;17.9;6413;10.2;4.58;769.8;DKK0.78;-;8.8;26.0;21.5;DK0061539921;VWS:DK
2016;76156;21.1;15816;20.8;10571;13.9;6.53;42.5;DKK1.36;74.7;10.4;31.6;27.2;DK0061539921;VWS:DK
2017;74070;-2.7;14609;19.7;9154;12.4;6.25;-4.3;DKK1.94;42.8;8.6;28.4;24.5;DK0061539921;VWS:DK
2018;75606;2.1;12168;16.1;7155;9.5;5.06;-19.1;DKK1.85;-4.9;6.0;22.0;19.0;DK0061539921;VWS:DK
2019;90737;20.0;13154;14.5;7500;8.3;5.30;4.9;DKK1.49;-19.5;5.4;21.8;18.1;DK0061539921;VWS:DK
2020;110248;21.5;11442;10.4;5557;5.0;5.80;9.4;DKK1.58;6.4;4.7;19.0;17.1;DK0061539921;VWS:DK
2021;115907;5.1;11600;10.0;2974;2.6;1.26;-78.2;DKK1.69;6.8;0.9;3.5;3.5;DK0061539921;VWS:DK
2012;224;57.1;208;92.9;32;14.5;1.60;166.7;;;7.3;7.8;7.8;DK0060257814;ZEAL:DK
2013;7;-97.1;6;86.7;-186;-2,823.5;-8.10;-606.3;;;-42.3;-45.5;-45.5;DK0060257814;ZEAL:DK
2014;154;2,239.1;140;91.0;-74;-47.8;-2.87;64.6;;;-13.8;-22.8;-15.5;DK0060257814;ZEAL:DK
2015;188;22.0;165;88.1;-81;-43.3;-4.94;-72.1;;;-18.5;-45.1;-20.9;DK0060257814;ZEAL:DK
2016;235;25.1;203;86.6;-116;-49.3;-6.33;-28.1;;;-23.1;-58.0;-26.2;DK0060257814;ZEAL:DK
2017;136;-41.9;122;89.6;-249;-182.9;-9.88;-56.1;;;-38.4;-68.2;-43.2;DK0060257814;ZEAL:DK
2018;38;-72.1;-142;-374.6;652;1,717.8;18.94;291.7;;;59.1;70.7;65.3;DK0060257814;ZEAL:DK
2019;41;8.8;41;99.0;-588;-1,422.5;-16.91;-189.3;;;-41.3;-49.5;-47.9;DK0060257814;ZEAL:DK
2020;353;754.8;263;74.4;-829;-234.6;-22.07;-30.5;;;-51.3;-69.9;-64.7;DK0060257814;ZEAL:DK
2021;293;-17.2;174;59.4;-1050;-359.0;-23.75;-7.6;;;-53.2;-94.4;-66.9;DK0060257814;ZEAL:DK
2018;8;-;8;97.7;-77;-977.5;-7.12;-;;;-;-;-;DK0061555109;AQP:DK
2019;6;-23.0;5;88.6;-89;-1,471.2;-7.03;1.3;;;-25.4;-51.4;-51.4;DK0061555109;AQP:DK
2020;5;-9.5;4;74.1;-86;-1,561.5;-15.00;-113.4;;;-46.0;-90.9;-69.7;DK0061555109;AQP:DK
2021;9;62.2;3;37.8;-131;-1,468.8;-14.00;6.7;;;-41.7;-69.8;-51.5;DK0061555109;AQP:DK
2013;2814;-6.4;1096;38.9;-187;-6.6;-1.92;-315.1;;;-5.6;-9.7;-7.8;DK0010218429;BO:DK
2014;2162;-23.2;830;38.4;-261;-12.1;-0.31;83.7;;;-1.0;-1.8;-1.4;DK0010218429;BO:DK
2015;2357;9.0;580;24.6;-807;-34.2;0.58;285.9;;;1.8;3.2;2.6;DK0010218429;BO:DK
2016;2633;11.8;952;36.1;-202;-7.7;-2.14;-469.3;;;-6.6;-11.4;-9.8;DK0010218429;BO:DK
2017;2954;12.2;1126;38.1;-129;-4.4;-1.21;43.7;;;-4.1;-7.0;-6.3;DK0010218429;BO:DK
2018;3285;11.2;1433;43.6;122;3.7;0.85;170.4;;;2.8;4.9;4.4;DK0010218429;BO:DK
2019;2838;-13.6;1377;48.5;59;2.1;0.22;-73.7;;;0.7;1.2;1.1;DK0010218429;BO:DK
2020;2036;-28.3;838;41.2;-346;-17.0;-14.10;-6,422.9;;;-27.1;-51.1;-45.5;DK0010218429;BO:DK
2021;2629;29.1;1139;43.3;19;0.7;-0.20;98.6;;;-1.1;-2.3;-1.9;DK0010218429;BO:DK
2022;2948;12.1;1336;45.3;46;1.6;-0.20;-;;;-1.3;-2.7;-2.1;DK0010218429;BO:DK
2012;39;3.1;45;114.9;6;14.4;0.21;-38.2;DKK0.05;-;9.0;10.9;9.7;DK0060030286;CBRAIN:DK
2013;43;11.2;50;115.4;8;17.4;0.28;33.3;DKK0.05;-;10.8;13.2;11.8;DK0060030286;CBRAIN:DK
2014;55;26.4;62;113.7;11;20.9;0.45;60.7;DKK0.06;20.0;14.6;18.4;15.9;DK0060030286;CBRAIN:DK
2015;69;25.3;77;111.7;17;24.2;0.66;46.7;DKK0.08;33.3;16.7;21.8;18.5;DK0060030286;CBRAIN:DK
2016;72;4.6;81;112.8;11;15.4;0.43;-34.8;DKK0.10;25.0;9.2;11.7;10.8;DK0060030286;CBRAIN:DK
2017;81;12.2;91;113.2;9;11.0;0.33;-23.3;DKK0.10;-;6.6;8.1;8.1;DK0060030286;CBRAIN:DK
2018;83;3.6;95;114.2;3;4.1;0.12;-63.6;DKK0.11;10.0;2.4;2.9;2.8;DK0060030286;CBRAIN:DK
2019;96;15.5;110;114.1;11;11.3;0.41;241.7;DKK0.11;-;7.2;9.2;8.6;DK0060030286;CBRAIN:DK
2020;120;24.6;137;114.0;21;17.3;0.78;90.2;DKK0.12;9.1;11.3;15.7;15.6;DK0060030286;CBRAIN:DK
2021;155;28.8;173;112.1;39;25.0;1.55;98.7;DKK0.14;16.7;16.7;25.8;22.3;DK0060030286;CBRAIN:DK
2012;12120;-5.7;413;3.4;338;2.8;-38.44;-419.3;DKK4.05;-77.5;-12.8;-15.2;-14.0;DK0060083210;DNORD:DK
2013;11678;-3.7;-233;-2.0;-298;-2.6;-6.37;83.4;DKK2.87;-29.2;-2.3;-2.8;-2.5;DK0060083210;DNORD:DK
2014;12300;5.3;-1881;-15.3;-1968;-16.0;-61.98;-873.5;DKK5.58;94.8;-22.9;-32.1;-27.3;DK0060083210;DNORD:DK
2015;11331;-7.9;-239;-2.1;-329;-2.9;-48.25;22.2;-;-100.0;-18.0;-30.6;-24.1;DK0060083210;DNORD:DK
2016;8824;-22.1;-103;-1.2;-134;-1.5;-7.97;83.5;-;-;-3.2;-5.6;-4.3;DK0060083210;DNORD:DK
2017;11373;28.9;201;1.8;163;1.4;3.84;148.1;-;-;1.8;2.8;2.2;DK0060083210;DNORD:DK
2018;16076;41.3;557;3.5;185;1.2;4.66;21.4;-;-;2.1;3.5;2.7;DK0060083210;DNORD:DK
2019;17371;8.1;819;4.7;407;2.3;3.23;-30.7;DKK2.01;-;1.2;2.3;1.5;DK0060083210;DNORD:DK
2020;15887;-8.5;1376;8.7;860;5.4;13.58;320.7;DKK2.31;14.5;4.6;9.3;5.9;DK0060083210;DNORD:DK
2021;23374;47.1;2286;9.8;1558;6.7;35.67;162.7;DKK9.34;304.9;9.9;22.3;13.5;DK0060083210;DNORD:DK
2012;245;0.9;97;39.8;19;7.6;9.40;5.6;DKK4.25;30.8;7.8;12.5;9.1;DK0060124691;GABR:DK
2013;262;6.9;102;39.2;18;6.9;9.50;1.1;DKK4.50;5.9;7.8;11.9;9.5;DK0060124691;GABR:DK
2014;282;7.7;116;41.1;25;8.9;11.60;22.1;DKK4.75;5.6;9.2;13.6;11.1;DK0060124691;GABR:DK
2015;335;18.8;133;39.8;26;7.7;11.40;-1.7;DKK5.25;10.5;8.2;12.5;10.0;DK0060124691;GABR:DK
2016;390;16.6;159;40.6;39;10.1;18.20;59.6;DKK5.50;4.8;12.1;18.1;15.5;DK0060124691;GABR:DK
2017;493;26.2;204;41.4;46;9.3;18.70;2.7;DKK7.25;31.8;10.2;16.7;13.9;DK0060124691;GABR:DK
2018;601;22.0;237;39.5;55;9.1;23.00;23.0;DKK7.65;5.5;10.4;18.5;13.9;DK0060124691;GABR:DK
2019;708;17.8;284;40.1;61;8.6;25.90;12.6;DKK9.50;24.2;9.1;18.4;11.2;DK0060124691;GABR:DK
2020;727;2.7;273;37.6;42;5.8;13.20;-49.0;DKK10.50;10.5;3.9;8.8;4.6;DK0060124691;GABR:DK
2021;810;11.3;295;36.4;59;7.2;24.40;84.8;DKK5.00;-52.4;6.7;15.3;8.1;DK0060124691;GABR:DK
2017;-;-;-;-;-;-;-;-;;;-;-;-;DK0061540341;GREENH:DK
2018;4;-;3;81.0;-4;-99.1;-0.03;-;;;-25.6;-519.7;-138.8;DK0061540341;GREENH:DK
2019;14;239.7;3;18.1;-12;-84.7;-0.13;-285.3;;;-38.8;-103.9;-78.0;DK0061540341;GREENH:DK
2020;9;-33.6;3;29.1;-73;-770.6;-0.89;-581.7;;;-53.5;-890.1;-70.7;DK0061540341;GREENH:DK
2021;5;-45.2;23;438.9;-164;-3,172.8;-7.85;-779.1;;;-64.5;-84.4;-72.6;DK0061540341;GREENH:DK
2012;1544;3.8;455;29.4;114;7.4;13.40;21.8;DKK9.25;311.1;8.2;15.9;11.7;DK0010256197;HART:DK
2013;1579;2.2;494;31.3;148;9.4;12.40;-7.5;DKK9.50;2.7;7.6;14.2;10.7;DK0010256197;HART:DK
2014;1615;2.3;510;31.6;163;10.1;17.20;38.7;DKK9.50;-;10.0;18.7;14.2;DK0010256197;HART:DK
2015;2133;32.1;687;32.2;233;10.9;16.10;-6.4;DKK9.50;-;7.5;17.6;10.6;DK0010256197;HART:DK
2016;2096;-1.7;668;31.9;249;11.9;25.30;57.1;DKK9.50;-;9.5;25.5;13.0;DK0010256197;HART:DK
2017;2207;5.3;656;29.7;233;10.6;17.60;-30.4;DKK9.50;-;6.4;16.1;8.4;DK0010256197;HART:DK
2018;2207;-0.0;638;28.9;204;9.3;13.90;-21.0;DKK9.50;-;5.2;12.7;6.7;DK0010256197;HART:DK
2019;2356;6.8;703;29.8;250;10.6;24.20;74.1;DKK9.50;-;8.6;20.3;11.1;DK0010256197;HART:DK
2020;2567;9.0;910;35.4;424;16.5;39.60;63.6;-;-100.0;12.4;28.8;15.9;DK0010256197;HART:DK
2021;2744;6.9;720;26.2;230;8.4;10.80;-72.7;-;-;2.9;6.7;3.6;DK0010256197;HART:DK
2012;1224;-6.6;272;22.3;2;0.2;-7.04;33.9;;;-5.5;-18.5;-7.9;DK0015202451;HH:DK
2013;1260;3.0;261;20.8;7;0.5;-7.91;-12.4;;;-6.9;-26.0;-10.1;DK0015202451;HH:DK
2014;1380;9.5;340;24.7;59;4.3;-1.98;75.0;;;-1.8;-10.4;-2.9;DK0015202451;HH:DK
2015;1621;17.5;410;25.3;86;5.3;3.11;257.2;;;3.2;19.3;5.3;DK0015202451;HH:DK
2016;1611;-0.6;405;25.1;119;7.4;6.95;123.7;;;7.3;33.5;12.5;DK0015202451;HH:DK
2017;1622;0.7;434;26.8;143;8.8;8.40;20.9;;;7.2;27.5;11.8;DK0015202451;HH:DK
2018;2523;55.5;690;27.3;247;9.8;8.66;3.1;;;6.7;18.2;10.0;DK0015202451;HH:DK
2019;2840;12.6;877;30.9;357;12.6;8.30;-4.1;;;5.8;12.6;8.0;DK0015202451;HH:DK
2020;2654;-6.5;836;31.5;326;12.3;13.50;62.7;;;8.6;16.7;11.1;DK0015202451;HH:DK
2021;3020;13.8;905;30.0;395;13.1;17.50;29.6;;;9.8;18.7;12.3;DK0015202451;HH:DK
2013;3200;3.3;1471;46.0;457;14.3;6.45;19.9;-;-;4.6;11.8;5.7;DK0060497295;MATAS:DK
2014;3345;4.5;1541;46.1;464;13.9;6.11;-5.3;-;-;4.4;10.0;5.5;DK0060497295;MATAS:DK
2015;3433;2.7;1595;46.5;526;15.3;8.38;37.2;DKK5.50;-;6.3;13.0;7.9;DK0060497295;MATAS:DK
2016;3426;-0.2;1605;46.8;514;15.0;9.11;8.7;DKK5.80;5.5;6.8;13.8;8.7;DK0060497295;MATAS:DK
2017;3463;1.1;1612;46.5;476;13.7;8.75;-4.0;DKK6.30;8.6;6.4;13.0;8.2;DK0060497295;MATAS:DK
2018;3465;0.0;1549;44.7;375;10.8;7.43;-15.1;DKK6.30;-;5.3;10.8;6.8;DK0060497295;MATAS:DK
2019;3541;2.2;1589;44.9;368;10.4;6.93;-6.7;DKK6.30;-;4.9;9.9;6.2;DK0060497295;MATAS:DK
2020;3689;4.2;1640;44.5;301;8.2;4.96;-28.4;DKK3.00;-52.4;3.2;7.0;4.0;DK0060497295;MATAS:DK
2021;4164;12.9;1841;44.2;385;9.2;6.96;40.3;-;-100.0;4.2;9.3;5.5;DK0060497295;MATAS:DK
2022;4344;4.3;1966;45.3;393;9.1;7.20;3.4;DKK2.00;-;4.5;8.9;6.0;DK0060497295;MATAS:DK
2014;-;-;-;-;-;-;-;-;;;-;-;-;DK0060907293;NLFSK:DK
2015;7316;-;2982;40.8;476;6.5;62.11;-;;;4.6;15.6;6.4;DK0060907293;NLFSK:DK
2016;7874;7.6;3299;41.9;564;7.2;8.11;-86.9;;;3.1;13.8;4.3;DK0060907293;NLFSK:DK
2017;8052;2.2;3399;42.2;607;7.5;11.09;36.7;;;4.5;22.2;6.5;DK0060907293;NLFSK:DK
2018;7866;-2.3;3300;42.0;652;8.3;2.76;-75.1;;;1.2;7.0;1.9;DK0060907293;NLFSK:DK
2019;7220;-8.2;3042;42.1;372;5.2;2.39;-13.4;;;1.1;5.7;1.6;DK0060907293;NLFSK:DK
2020;6196;-14.2;2579;41.6;213;3.4;-0.74;-131.1;;;-0.3;-1.8;-0.5;DK0060907293;NLFSK:DK
2021;7398;19.4;2995;40.5;623;8.4;13.98;1,979.0;;;6.4;29.8;9.7;DK0060907293;NLFSK:DK
2012;2028;-;415;20.5;217;10.7;5.76;-;-;-;-;-;-;DK0060580512;NNIT:DK
2013;2205;8.7;449;20.4;246;11.2;7.42;28.8;-;-;14.8;25.6;25.6;DK0060580512;NNIT:DK
2014;2410;9.3;480;19.9;265;11.0;8.37;12.8;-;-;16.4;28.9;28.9;DK0060580512;NNIT:DK
2015;2600;7.9;517;19.9;269;10.3;8.54;2.0;-;-;16.2;29.8;29.8;DK0060580512;NNIT:DK
2016;2765;6.3;542;19.6;293;10.6;8.85;3.6;DKK6.00;-;12.4;27.4;22.7;DK0060580512;NNIT:DK
2017;2851;3.1;513;18.0;262;9.2;7.97;-9.9;DKK4.20;-30.0;8.9;22.0;15.8;DK0060580512;NNIT:DK
2018;3007;5.5;541;18.0;307;10.2;9.52;19.4;DKK4.30;2.4;9.7;22.9;15.8;DK0060580512;NNIT:DK
2019;3058;1.7;475;15.5;239;7.8;7.36;-22.7;DKK4.60;7.0;7.1;16.2;11.1;DK0060580512;NNIT:DK
2020;2830;-7.5;387;13.7;165;5.8;3.04;-58.7;DKK4.00;-13.0;2.9;6.6;4.6;DK0060580512;NNIT:DK
2021;2877;1.7;344;12.0;142;4.9;-0.30;-109.9;DKK1.00;-75.0;-0.3;-0.6;-0.4;DK0060580512;NNIT:DK
2012;1105;-8.8;530;48.0;100;9.1;3.40;-77.0;DKK3.00;-78.6;7.5;12.5;9.4;DK0010270347;NORTHM:DK
2013;1077;-2.5;488;45.3;57;5.3;0.50;-85.3;-;-100.0;1.0;1.7;1.3;DK0010270347;NORTHM:DK
2014;1074;-0.3;533;49.7;55;5.1;1.10;120.0;-;-;2.3;3.9;3.0;DK0010270347;NORTHM:DK
2015;1012;-5.7;497;49.1;10;1.0;-0.50;-145.5;-;-;-1.2;-1.9;-1.5;DK0010270347;NORTHM:DK
2016;881;-13.0;418;47.4;-27;-3.1;-3.40;-580.0;-;-;-7.8;-12.8;-9.9;DK0010270347;NORTHM:DK
2017;899;2.1;410;45.6;-0;-0.0;1.50;144.1;-;-;3.7;6.0;4.7;DK0010270347;NORTHM:DK
2018;1145;27.3;553;48.3;110;9.6;3.00;100.0;DKK1.50;-;7.0;10.9;8.7;DK0010270347;NORTHM:DK
2019;1046;-8.7;523;50.0;166;15.9;11.00;266.7;DKK3.00;100.0;22.9;33.9;27.8;DK0010270347;NORTHM:DK
2020;1045;-0.0;620;59.3;242;23.1;16.70;51.8;-;-100.0;28.4;39.5;33.8;DK0010270347;NORTHM:DK
2021;1034;-1.1;621;60.0;265;25.6;14.70;-12.0;DKK5.00;-;21.8;27.9;24.8;DK0010270347;NORTHM:DK
2014;-;;-;-;-;-;-;-;;;-;-;-;DK0060910917;ORPHA:DK
2015;-;;-;-;-53;-;-4.66;-;;;-79.2;-90.3;-90.3;DK0060910917;ORPHA:DK
2016;-;;-;-;-64;-;-5.89;-26.5;;;-99.1;-126.4;-126.4;DK0060910917;ORPHA:DK
2017;-;;-;-;-118;-;-10.43;-77.1;;;-36.3;-39.9;-39.9;DK0060910917;ORPHA:DK
2018;-;;-;-;-232;-;-11.47;-10.0;;;-41.6;-45.7;-45.7;DK0060910917;ORPHA:DK
2019;-;;-;-;-336;-;-16.85;-46.9;;;-108.5;-153.0;-131.0;DK0060910917;ORPHA:DK
2020;-;;-;-;-609;-;-22.32;-32.5;;;-126.2;-188.0;-155.4;DK0060910917;ORPHA:DK
2021;36;;36;100.0;-633;-1,749.8;-17.94;19.6;;;-125.8;-198.9;-170.6;DK0060910917;ORPHA:DK
2012;191;-11.9;127;66.5;5;2.7;0.20;-50.0;-;-;0.8;1.2;1.1;DK0010267129;RTX:DK
2013;241;26.3;140;58.0;17;7.1;3.30;1,550.0;-;-;14.1;19.6;18.0;DK0010267129;RTX:DK
2014;288;19.4;164;56.9;37;12.8;6.10;84.8;DKK0.50;-;20.1;27.6;25.9;DK0010267129;RTX:DK
2015;350;21.2;199;56.9;52;15.0;5.40;-11.5;DKK1.00;100.0;15.1;19.8;19.3;DK0010267129;RTX:DK
2016;396;13.2;230;58.2;66;16.7;5.50;1.9;DKK2.00;100.0;14.2;18.1;18.1;DK0010267129;RTX:DK
2017;434;9.6;256;59.0;72;16.7;6.50;18.2;DKK2.00;-;16.4;20.7;20.7;DK0010267129;RTX:DK
2018;475;9.7;281;59.1;75;15.7;6.90;6.2;DKK2.00;-;15.5;20.2;20.2;DK0010267129;RTX:DK
2019;560;17.9;334;59.6;87;15.5;8.30;20.3;DKK2.00;-;16.1;21.6;21.6;DK0010267129;RTX:DK
2020;556;-0.8;338;60.8;84;15.0;7.40;-10.8;DKK2.50;25.0;12.7;18.1;16.9;DK0010267129;RTX:DK
2021;457;-17.8;264;57.7;6;1.3;0.40;-94.6;DKK2.50;-;0.7;1.1;1.0;DK0010267129;RTX:DK
2012;1109;13.5;313;28.2;58;5.2;3.07;38.1;DKK0.40;-;3.9;14.2;4.9;DK0061027356;SPG:DK
2013;1102;-0.6;311;28.2;64;5.8;3.75;22.2;DKK0.50;25.0;4.5;15.9;5.6;DK0061027356;SPG:DK
2014;1165;5.7;327;28.1;59;5.1;3.85;2.7;DKK0.60;20.0;4.3;14.8;5.3;DK0061027356;SPG:DK
2015;1320;13.3;403;30.5;95;7.2;5.60;45.5;DKK0.70;16.7;6.0;18.1;7.6;DK0061027356;SPG:DK
2016;1519;15.1;466;30.7;132;8.7;8.07;44.0;DKK0.80;14.3;8.1;22.5;10.8;DK0061027356;SPG:DK
2017;1873;23.3;596;31.8;180;9.6;11.42;41.6;DKK1.20;50.0;9.7;27.3;13.3;DK0061027356;SPG:DK
2018;1958;4.5;639;32.6;188;9.6;14.10;23.5;DKK2.00;66.7;10.2;27.7;13.6;DK0061027356;SPG:DK
2019;2002;2.3;632;31.6;165;8.3;12.46;-11.6;DKK2.40;20.0;7.6;21.1;10.0;DK0061027356;SPG:DK
2020;2175;8.6;693;31.9;210;9.7;12.75;2.3;-;-100.0;7.0;17.6;9.1;DK0061027356;SPG:DK
2021;2481;14.1;803;32.4;266;10.7;16.44;28.9;DKK5.00;-;8.5;19.4;11.1;DK0061027356;SPG:DK
2014;437;-;123;28.2;35;8.1;2.41;-;-;-;-;-;-;DK0060915478;TCM:DK
2015;537;22.8;153;28.6;67;12.5;4.82;100.0;-;-;13.8;30.2;30.2;DK0060915478;TCM:DK
2016;509;-5.2;155;30.5;73;14.3;3.16;-34.4;-;-;4.9;10.9;7.3;DK0060915478;TCM:DK
2017;817;60.7;231;28.3;115;14.1;4.51;42.7;-;-;6.0;14.9;8.1;DK0060915478;TCM:DK
2018;900;10.1;263;29.2;140;15.6;10.37;129.9;-;-;12.6;29.1;17.6;DK0060915478;TCM:DK
2019;1007;11.9;280;27.8;154;15.3;11.13;7.3;DKK4.75;-;12.7;25.3;17.7;DK0060915478;TCM:DK
2020;1025;1.8;273;26.6;140;13.6;10.22;-8.2;DKK5.25;10.5;11.1;19.5;15.6;DK0060915478;TCM:DK
2021;1108;8.2;255;23.0;138;12.4;11.54;12.9;DKK5.50;4.8;12.1;22.3;17.3;DK0060915478;TCM:DK
2012;663;2.8;521;78.5;39;5.9;5.49;28.0;DKK1.07;4,019.2;3.2;5.1;4.0;DK0060726743;TIV:DK
2013;697;5.1;561;80.5;47;6.7;6.47;17.9;DKK1.37;27.9;3.7;5.7;4.6;DK0060726743;TIV:DK
2014;805;15.5;805;100.0;62;7.7;7.77;20.1;DKK1.62;18.1;4.3;6.6;5.6;DK0060726743;TIV:DK
2015;913;13.4;913;100.0;77;8.4;7.70;-0.9;DKK1.95;20.3;4.2;6.2;5.6;DK0060726743;TIV:DK
2016;939;2.9;939;100.0;102;10.9;13.20;71.4;DKK1.92;-1.2;6.7;10.0;8.7;DK0060726743;TIV:DK
2017;939;-0.1;939;100.0;105;11.2;13.70;3.8;DKK3.29;71.0;5.7;9.6;7.2;DK0060726743;TIV:DK
2018;1059;12.8;1059;100.0;131;12.4;16.50;20.4;DKK3.43;4.3;6.0;10.7;7.4;DK0060726743;TIV:DK
2019;1051;-0.7;1051;100.0;86;8.2;29.30;77.6;DKK4.12;20.1;9.8;17.0;12.1;DK0060726743;TIV:DK
2020;478;-54.6;478;100.0;-175;-36.6;-25.00;-185.3;-;-100.0;-8.0;-14.6;-10.0;DK0060726743;TIV:DK
2021;719;50.6;719;100.0;-36;-4.9;-7.30;70.8;-;-;-2.5;-4.7;-3.1;DK0060726743;TIV:DK
2013;632;75.7;-102;-16.1;-203;-32.2;-8.50;-2,063.0;;;-12.1;-30.2;-13.1;DK0010258995;AGAT:DK
2014;331;-47.7;112;33.9;20;6.1;-0.70;91.8;;;-1.4;-3.3;-1.5;DK0010258995;AGAT:DK
2015;855;158.5;97;11.3;15;1.8;-0.40;42.9;;;-1.2;-2.5;-1.3;DK0010258995;AGAT:DK
2016;328;-61.6;-42;-12.9;-158;-48.2;-2.30;-475.0;;;-7.9;-15.9;-8.3;DK0010258995;AGAT:DK
2017;402;22.5;83;20.7;3;0.7;0.10;104.3;;;0.3;0.6;0.3;DK0010258995;AGAT:DK
2018;786;95.7;-243;-31.0;-328;-41.8;-3.90;-4,000.0;;;-14.8;-34.2;-15.6;DK0010258995;AGAT:DK
2019;753;-4.2;-57;-7.5;-143;-19.0;-1.60;59.0;;;-7.3;-18.6;-7.9;DK0010258995;AGAT:DK
2020;340;-54.8;-34;-10.0;-95;-27.9;-2.00;-25.0;;;-10.2;-29.2;-11.5;DK0010258995;AGAT:DK
2021;162;-52.5;-72;-44.8;-110;-67.9;-1.40;30.0;;;-8.6;-27.4;-9.8;DK0010258995;AGAT:DK
2022;135;-16.8;-2;-1.8;-26;-19.3;0.04;102.6;;;0.3;0.9;0.3;DK0010258995;AGAT:DK
2012;122;-13.5;94;77.0;-87;-71.1;-8.34;-660.6;;;-69.4;-137.6;-91.2;DK0010247956;BIF:DK
2013;110;-9.5;82;74.1;-35;-32.1;-0.59;93.0;;;-12.8;-27.0;-17.2;DK0010247956;BIF:DK
2014;120;9.1;85;70.6;-43;-36.1;-1.12;-90.9;;;-55.8;-98.0;-66.9;DK0010247956;BIF:DK
