CGCBV:FI
CTY1S:FI
ELISA:FI
FORTUM:FI
FSKRS:FI
HUH1V:FI
KCR:FI
KEMIRA:FI
KESKOA:FI
KESKOB:FI
KNEBV:FI
KOJAMO:FI
METSA:FI
METSB:FI
MOCORP:FI
NESTE:FI
NOKIA:FI
ORNAV:FI
ORNBV:FI
OUT1V:FI
QTCOM:FI
REG1V:FI
SAMPO:FI
SANOMA:FI
STERV:FI
TIETO:FI
TTALO:FI
TYRES:FI
UPM:FI
UPONOR:FI
VAIAS:FI
VALMT:FI
WRT1V:FI
YIT:FI
AKTIA:FI
ALBAV:FI
ALBBV:FI
ALMA:FI
ANORA:FI
ASPO:FI
ATRAV:FI
BAS1V:FI
BITTI:FI
CAPMAN:FI
CAV1V:FI
DIGIA:FI
ENENTO:FI
EQV1V:FI
ETTE:FI
EVLI:FI
FIA1S:FI
FSECURE:FI
GOFORE:FI
HARVIA:FI
HKSAV:FI
ICP1V:FI
KAMUX:FI
LAT1V:FI
MEKKO:FI
MUSTI:FI
NOHO:FI
OKDAV:FI
OKDBV:FI
OLVAS:FI
OMASP:FI
PIHLIS:FI
PON1V:FI
PURMO:FI
PUUILO:FI
RAIVV:FI
RAP1V:FI
RELAIS:FI
REMEDY:FI
ROVIO:FI
SCANFL:FI
SITOWS:FI
STOCKA:FI
SUY1V:FI
TAALA:FI
TALLINK:FI
TEM1V:FI
TNOM:FI
TOKMAN:FI
VERK:FI
VIK1V:FI
WITH:FI
ACG1V:FI
AFAGR:FI
APETIT:FI
BIOBV:FI
BOREO:FI
CONSTI:FI
CTH1V:FI
DIGIGR:FI
DOV1V:FI
EEZY:FI
ELEAV:FI
ENDO.ST
ENEDO:FI
ESENSE:FI
EXL1V:FI
FELLOW:FI
GLA1V:FI
HONBS:FI
IFA1V:FI
ILKKA2:FI
INVEST:FI
KELAS:FI
KOSKI:FI
KREATE:FI
KSLAV:FI
LEHTO:FI
MARAS:FI
NIXU:FI
NLG1V:FI
OPTOMED:FI
OR:FIX:FI
OVARO:FI
PNA1V:FI
PUMU:FI
QPR1V:FI
RAUTE:FI
REKA:FI
ROBIT:FI
SAGCV:FI
SIEVI:FI
SIILI:FI
SOLTEQ:FI
SOPRA:FI
SRV1V:FI
SSH1V:FI
TLT1V:FI
TRH1V:FI
TULAV:FI
UNITED:FI
VALOE:FI
WUF1V:FI
ALK-B:DK
ALMB:DK
AMBU-B:DK
BAVA:DK
B:DK.ST
CARL-A:DK
CARL-B:DK
CHEMM:DK
CHR:DK
DANSKE:DK
DEMANT:DK
DFDS:DK
DSV:DK
FLS:DK
GMAB:DK
GN:DK
HLUN-A:DK
HLUN-B:DK
ISS:DK
JDAN:DK
JYSK:DK
KBHL:DK
MAERSK-A:DK
MAERSK-B:DK
NETC:DK
NKT:DK
NOVO-B:DK
NTG:DK
NZYM-B:DK
ORSTED:DK
OSSR:DK
PNDORA:DK
RBREW:DK
RILBA:DK
ROCK-A:DK
ROCK-B:DK
SCHO:DK
SIM:DK
SPNO:DK
STG:DK
SYDB:DK
TOP:DK
TRYG:DK
VWS:DK
ZEAL:DK
AOJ-B:DK
AQP:DK
BNORDIK-CSE:DK
BO:DK
CBRAIN:DK
DAB:DK
DNORD:DK
FLUG-B:DK
GABR:DK
GREENH:DK
GYLD-A:DK
GYLD-B:DK
HART:DK
HH:DK
HU:DK:DK
I:DK.TO
LASP:DK
MATAS:DK
NLFSK:DK
NNIT:DK
NORTHM:DK
O:DK.ST
ORPHA:DK
PAAL-B:DK
RTX:DK
SOLAR-B:DK
SPG:DK
SPKSJF:DK
TCM:DK
TIV:DK
TRIFOR:DK
TRMD-A:DK
UIE:DK
VJBA:DK
AGAT:DK
AGF-B:DK
ATLA-DKK:DK
BIF:DK
BIOPOR:DK
BLVIS-A:DK
CEMAT:DK
CPHCAP-PREF:DK
CPHCAP-ST:DK
DANT:DK
DJUR:DK
EAC:DK
ESG:DK
FED:DK
FFARMS:DK
FYNBK:DK
GERHSP:DK
GJ:DK
GREENM:DK
GRLA:DK
HARB-B:DK
HVID:DK
IMAIL:DK
KLEE-B:DK
KRE:DK
LOLB:DK
LUXOR-B:DK
MNBA:DK
MTHH:DK
NEWCAP:DK
NORDIC:DK
NRDF:DK
NTR-B:DK
PARKEN:DK
PARKST-A:DK
PENNEO:DK
PRIMOF:DK
RBLN-B:DK
RIAS-B:DK
ROV:DK
SANI:DK
SBS:DK
SIF:DK
SIG:DK
SKAKO:DK
SKJE:DK
STRINV:DK
TOTA:DK
